Instancia,Ficheiro,Config,Algoritmo,Viz,Iter_HC,Tmax,Tmin,Alpha,Pop,Geracoes,Prob_Cross,Prob_Mut,Selecao,Crossover,Run,Fitness
tourism_5,tourism_5.txt,H2-2,Hibrido2_GA_HC,2,1000,,,,50,1000,0.7,0.1,2,3,10,72.28
tourism_20,tourism_20.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,1,164.65
tourism_20,tourism_20.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,2,164.65
tourism_20,tourism_20.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,3,164.65
tourism_20,tourism_20.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,4,164.65
tourism_20,tourism_20.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,5,164.65
tourism_20,tourism_20.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,6,164.65
tourism_20,tourism_20.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,7,164.65
tourism_20,tourism_20.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,8,164.65
tourism_20,tourism_20.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,9,164.65
tourism_20,tourism_20.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,10,164.65
tourism_20,tourism_20.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,1,164.62
tourism_20,tourism_20.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,2,164.65
tourism_20,tourism_20.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,3,161.52
tourism_20,tourism_20.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,4,164.62
tourism_20,tourism_20.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,5,164.62
tourism_20,tourism_20.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,6,162.47
tourism_20,tourism_20.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,7,161.52
tourism_20,tourism_20.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,8,161.60
tourism_20,tourism_20.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,9,161.52
tourism_20,tourism_20.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,10,164.62
tourism_20,tourism_20.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,1,164.65
tourism_20,tourism_20.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,2,164.65
tourism_20,tourism_20.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,3,164.65
tourism_20,tourism_20.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,4,164.65
tourism_20,tourism_20.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,5,164.65
tourism_20,tourism_20.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,6,164.65
tourism_20,tourism_20.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,7,164.65
tourism_20,tourism_20.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,8,164.65
tourism_20,tourism_20.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,9,164.65
tourism_20,tourism_20.txt,SA-1,Recristalizacao,1,,100.0,0.001,0.99,50,1000,0.7,0.1,,,10,164.65
tourism_20,tourism_20.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,1,164.65
tourism_20,tourism_20.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,2,164.62
tourism_20,tourism_20.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,3,164.65
tourism_20,tourism_20.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,4,164.62
tourism_20,tourism_20.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,5,164.65
tourism_20,tourism_20.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,6,164.62
tourism_20,tourism_20.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,7,164.65
tourism_20,tourism_20.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,8,164.65
tourism_20,tourism_20.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,9,164.65
tourism_20,tourism_20.txt,SA-2,Recristalizacao,2,,100.0,0.001,0.95,50,1000,0.7,0.1,,,10,164.62
tourism_20,tourism_20.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,1,164.65
tourism_20,tourism_20.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,2,164.65
tourism_20,tourism_20.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,3,164.65
tourism_20,tourism_20.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,4,164.65
tourism_20,tourism_20.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,5,164.65
tourism_20,tourism_20.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,6,164.65
tourism_20,tourism_20.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,7,164.65
tourism_20,tourism_20.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,8,164.65
tourism_20,tourism_20.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,9,164.65
tourism_20,tourism_20.txt,GA-1,Evolutivo,,,,,,50,1000,0.7,0.1,1,1,10,164.65
tourism_20,tourism_20.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,1,164.65
tourism_20,tourism_20.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,2,164.65
tourism_20,tourism_20.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,3,164.65
tourism_20,tourism_20.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,4,164.65
tourism_20,tourism_20.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,5,164.65
tourism_20,tourism_20.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,6,164.65
tourism_20,tourism_20.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,7,164.65
tourism_20,tourism_20.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,8,164.65
tourism_20,tourism_20.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,9,164.65
tourism_20,tourism_20.txt,GA-2,Evolutivo,,,,,,50,1000,0.7,0.1,2,3,10,164.65
tourism_20,tourism_20.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,1,164.65
tourism_20,tourism_20.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,2,164.65
tourism_20,tourism_20.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,3,164.65
tourism_20,tourism_20.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,4,164.65
tourism_20,tourism_20.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,5,164.65
tourism_20,tourism_20.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,6,164.65
tourism_20,tourism_20.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,7,164.65
tourism_20,tourism_20.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,8,164.65
tourism_20,tourism_20.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,9,164.65
tourism_20,tourism_20.txt,H1-1,Hibrido1_GA_SA,1,,100.0,0.001,0.99,50,1000,0.7,0.1,1,1,10,164.65
tourism_20,tourism_20.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,1,164.65
tourism_20,tourism_20.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,2,164.65
tourism_20,tourism_20.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,3,164.65
tourism_20,tourism_20.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,4,164.65
tourism_20,tourism_20.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,5,164.65
tourism_20,tourism_20.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,6,164.65
tourism_20,tourism_20.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,7,164.65
tourism_20,tourism_20.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,8,164.65
tourism_20,tourism_20.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,9,164.65
tourism_20,tourism_20.txt,H1-2,Hibrido1_GA_SA,2,,100.0,0.001,0.95,50,1000,0.7,0.1,2,3,10,164.65
tourism_20,tourism_20.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,1,164.65
tourism_20,tourism_20.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,2,164.65
tourism_20,tourism_20.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,3,164.65
tourism_20,tourism_20.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,4,164.65
tourism_20,tourism_20.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,5,164.65
tourism_20,tourism_20.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,6,164.65
tourism_20,tourism_20.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,7,164.65
tourism_20,tourism_20.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,8,164.65
tourism_20,tourism_20.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,9,164.65
tourism_20,tourism_20.txt,H2-1,Hibrido2_GA_HC,1,1000,,,,50,1000,0.7,0.1,1,1,10,164.65
tourism_20,tourism_20.txt,H2-2,Hibrido2_GA_HC,2,1000,,,,50,1000,0.7,0.1,2,3,1,164.65
tourism_20,tourism_20.txt,H2-2,Hibrido2_GA_HC,2,1000,,,,50,1000,0.7,0.1,2,3,2,164.65
tourism_20,tourism_20.txt,H2-2,Hibrido2_GA_HC,2,1000,,,,50,1000,0.7,0.1,2,3,3,164.65
tourism_20,tourism_20.txt,H2-2,Hibrido2_GA_HC,2,1000,,,,50,1000,0.7,0.1,2,3,4,164.65
tourism_20,tourism_20.txt,H2-2,Hibrido2_GA_HC,2,1000,,,,50,1000,0.7,0.1,2,3,5,164.65
tourism_20,tourism_20.txt,H2-2,Hibrido2_GA_HC,2,1000,,,,50,1000,0.7,0.1,2,3,6,164.65
tourism_20,tourism_20.txt,H2-2,Hibrido2_GA_HC,2,1000,,,,50,1000,0.7,0.1,2,3,7,164.65
tourism_20,tourism_20.txt,H2-2,Hibrido2_GA_HC,2,1000,,,,50,1000,0.7,0.1,2,3,8,164.65
tourism_20,tourism_20.txt,H2-2,Hibrido2_GA_HC,2,1000,,,,50,1000,0.7,0.1,2,3,9,164.65
tourism_20,tourism_20.txt,H2-2,Hibrido2_GA_HC,2,1000,,,,50,1000,0.7,0.1,2,3,10,164.65
tourism_50,tourism_50.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,1,498.71
tourism_50,tourism_50.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,2,499.54
tourism_50,tourism_50.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,3,499.54
tourism_50,tourism_50.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,4,499.54
tourism_50,tourism_50.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,5,498.03
tourism_50,tourism_50.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,6,498.71
tourism_50,tourism_50.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,7,499.54
tourism_50,tourism_50.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,8,499.30
tourism_50,tourism_50.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,9,499.54
tourism_50,tourism_50.txt,HC-1,Trepa-Colinas,1,1000,,,,50,1000,0.7,0.1,,,10,499.30
tourism_50,tourism_50.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,1,491.79
tourism_50,tourism_50.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,2,493.10
tourism_50,tourism_50.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,3,494.41
tourism_50,tourism_50.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,4,489.10
tourism_50,tourism_50.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,5,490.51
tourism_50,tourism_50.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,6,490.07
tourism_50,tourism_50.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,7,493.48
tourism_50,tourism_50.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,8,494.86
tourism_50,tourism_50.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,9,493.37
tourism_50,tourism_50.txt,HC-2,Trepa-Colinas,2,1000,,,,50,1000,0.7,0.1,,,10,491.69
